content,polarity
"tolong yaa mending spx di nonaktifkan dulu, ini saya udah ke 3 kali nya paket saya di cancel tanpa konfirmasi, gak dikirim ke saya tb2 saya lihat status paket udh balik lagi. Tolong ya di perbaiki, gimana kalo paket yg cancel itu paket yg di tunggu2 sm pelanggan. Ini kalo cancel trs pelanggan yang rugi nanti dinonaktifkan fitur cod nya, padahal yang salah pihak ekspedisi. Dan juga tolong ada in fitur nomor kurir atau nama kurir nya agar mudah kita ngahubungi kurir nya",Negatif
"Kecewa parah ama expedisinya,pesanan via COD gercep nyampe,giliran pembayaran via shopepay gak nyampe²,perpanjang masa garansi tetep belom nyampe,voucher keterlambatan gak bisa di pake,bikin laopran tetep aja gak ada perubahan,masih tetep stuck di satu titik",Negatif
"1.Orderan tidak tepat waktu... 2.notifikasi tentang status pengiriman tidak sesuai dengan keadaan aslinya.. 3.Nomor Hp kurir tidak ada. Sehingga tidak bisa kordinasi untuk COD... 4. Saya dapat notifikasi bahwa barang sedang di antar ke alamat saya, tapi sampai sore ini tidak sampai....padahal saya sudah tunggu seharian (di tipu saya)... Sangat mengecewakan..... 5.",Negatif
"5 kali download 5kali gak bisa cod aplikasi terbatas itu gk usah di buat min, aplikasi tidak bisa digunakan cod nya, hapus aja lah buat sampah aja di HP, buat aplikasi itu yg langsung bisa digunakan min, dan di perluas jangkauan lokasinya bosku cuma saran, hapus lagi aplikasi gak jelas ini buat habis paket aja.",Negatif
"Terimakasih shopee, Uda Nemani belanja online dari 2020 sampai sekarang, tidak ada kendala, saya suka pakai aplikasi shopee bisa cek paket sampai mana, dan udah di gudang mana seperti GPS,, dan saya paling suka aplikasi shopee tidak ribet, saat mau cod dan promo dan diskon banyak, pokoknya shopee paling Best lah sukses selalu shopee🥳🥳",Positif
"Saya belanja di shopee hampir setiap hari, dan belanja saya belum sampai 5juta betingka kali rasanya pakai appa shopee nee, COD gak bisa lagi, ongkir makin melonjak, gak konsisten kalipun...pesanan saya ada yg gak sampai bebulan bulan dan ada yg di retur dari pihak shope sendiri...jadi kayak gak jelas lagi sekarang...pindah nampaknya ne ke app sebelah...kecewa kami para pengguna shopee...mohon di koreksi ulang, jangan suda nampak maju sekarang ne nntik apk shopee nya sepiii....buat iklan LG nnt",Negatif
"Tolong dong shopee kalau lagi proses pengiriman cod nomer kurir nya di cantum kan juga di notif, Biar bisa hubungin si kurir nya, Udah beberapa kali belanja dengan metode cod tapi gak ada nomer kurir nya Kita jadi kesusahan mau hubungin kurir nya kaya gimana.",Positif
"Sistem cod, barang tidak sesuai kan kita kembalikan, kenapa harus cacat nma kita dan tidak bisa cod lagi. Kadang ada yg dari toko nya tidak sesuai pesanan, kita pesan yg ini, yg ituu dikirim nya. Kan membuat kecewa pelanggan. Seharus nya ada tindakan dari PT shopee nya, bukan dari pelanggan nya dikasih tindakan tidak bsa cod lagi. Mohon bantuannya",Negatif
"Sebenarnya aplikasi ini maunya gimana ya, klw beli barang yg Cod paling juga 3 hari udh nyampek di Sumatra, lah giliran udh bayar duluan, harusnya kan lebih cepat ya kan pelanggan membayar lebih dulu gitu. Udh seminggu malah belum nyampek padahal dari Jakarta 🗿😑 aneh emang belinya juga enggak pas hari libur loh hari Selasa waktu itu",Negatif
"Udh bertahun tahun Saya sering belanja di aplikasi Shopee, barangnya memang bagus dan sesuai ekspetasi, namun akhir akhir ini, udh kedua kalinya pesanan saya lewat estimasi pengiriman, entah apa kendalanya yg membuat pesanan saya sering terlambat pengiriman, mudah mudahan aplikasi Shopee bisa mengambil ketegasan agar kurir yg ngantar paket bisa mengirim pesanan tepat waktu, selain itu akhir akhir ini, untuk metode pembayaran COD tidak bisa digunakan, entah knp masalahnya",Positif
"Maaf kenapa cod pakai expedisi J&T dikenakan biaya tambahan lagi 1000 rupiah saat kita bayar di kurier , jadi kita bayar tidak sesuai tagihan total di shoppey padahal disituh sudah tertulis cod ada tambahan biaya pelayanan dll ,jadi tagihan cod yg harus dibayar dishoppey 15 RB tapi saat barang dikirim kita harus bayar 16 RB . Selalu seperti itu kalau expedisi ya J&T , kalau expedisi lain tidak kita bayar sesuai tagihan cod di shoppey . Mks. Sudah dari dulu ini cuman baru sempat ksh review. Mks",Negatif
"Apa sih gunanya COD (cek dulu)? Barang datang di cek dulu tidak sesuai, atau kurang kalau tidak sesuai bisa di kembalikan. Tapi kenapa setelah pesan 3x barang datang tidak sesuai dan di kembalikan ke penjual, malah pengiriman cod ku di tutup? Sama aja dong kalau gitu mending GK usah ada cek dulu sekalian aja",Positif
"Saya nggak bisa login shopee dari laptop, aneh.. muncul barcode bertuliskan ""login di aplikasi shopee"" (disuruh download di hp) saya uda download di hp ga masalah, tetapi di laptop tetap ga bisa login...",Negatif
"App ini sangat bagus dn terpercaya, sya adalah pelanggan tetap app ini tapi semenjak adanya jasa kirim Shopee ini sya jadi setengah sulit untuk menerima paket sya di akibatkan jasa kirim yg Tidak amanah yg dimana paket Tidak d antarkan dan terkadang kurirnya TDK sopan atau tidak ramah , dan juga pengiriman yg terlalu lama. yg mengakibatkan kan akun sya Tidak di perbolehkan menggunakan fitur COD , harapan sya tolong buat pihak shopee agar lebih mengawasi jasa kirim nya sendiri , Terimakasih",Positif
"Kurirnya lama sekali dalam bekerja, bahkan saya sampai menerima paket malam2. Pengalaman saya belanja disini sangat mengecewakan, saya memesan paket cod dan informasinya paket saya sedang di antar jam 8 pagi namun saya tunggu hingga jam 5 sore belum datang2 juga. 9 jam itu bukan waktu yang sedikit namun sangat banyak.",Negatif
"Kembalikan ekspedisi yang dulu,,pake ekspedisi kalian lambat,reguler dari luar pulau biasanya cuma 5 hri sampai,sedang pake ekspedisi kalian satu minggu,,yang kedua sekarang kalo COD mahal diongkir,,kalo begini terus saya pindah langganan aja",Negatif
"Bagus tapi ada yang kurang tolong kalau pesanan di batalkan sama Apknya sendiri metode pembayaran COD jangan diblok apalagi jeda waktunya 60 hari baru bisa di buka, jadi mohon di tingkatkan lagi kecuali pelanggan yang membatalkan",Positif
"Sangat terbantu dengan belanja online di shopee, selama ini amanah dan terjangkau, ada fitur cod dan free ongkir juga yang membantu sy meminit pengeluaran, ok pokonya 🫰 semoga selalu ok disetiap tahunnya.",Positif
"Aplikasi nya bagus tapi akhir-akhir ini banyak terjadi masalah, pesanan di batalkan padahal udah confirmasi sama penjual. Dan barang sangat lama datang nya estimasi nya hanya smpai seminggu paling lama tapi datang nya estimasi sampai sebulan dan itu pun nyasar ke daerah lain pengiriman nya. Tolong di tegas kan kepada pihak Shopee. Sampai"" Pesanan COD di blok hanya karna kesalahan kurir yg gak bisa antar pesanan dengan benar. Estimasi COD di buka 60 hari lagi. Di benahi lagi lah ya",Negatif
"Online shop ya shopee, belanja mudah gak pakai ribet, tersediaberbagai macam keperluan, bayarnya juga mudah mulai dari transfer, COD, shopeepay pay later, lengkap tinggal pilih berbagai cara pembayaranya, yuk di unduh Shopee nya di gogle play stors pastinya, yuuuuuk di unduh, ok Terimakasih. Jual beli Online ya Shopee",Positif
makin kesini mulai ada rasa percaya pada aplikasi ini pengiriman walaupun kadang lama tapi kadang cepat juga nyampenya. yang bikin saya mulai percaya itu karena kalo pada saat orderan datang tidak sesuai pesanan untuk buat pengajuan pengembalian dana tuh cepat dan ongkirnya juga lebih murah dari pada aplikasi yang lain. trus harganya juga terjangkau. Keterangan saya ini jika saat belanja langsung bayar atau transfer ya. tapi kalo order barang COD jeleknya kurir lsg retur pas kita TDK ada di rmh,Positif
"Aplikasi yang bagus, . Belanja dr rumah, bs cod, kereen 👍 Suka banget sama shopee...tapi tolong aktif kan spaylater dong kak 😁🙏🙏🙏 Kita update ulasan,,kenapa ya sekarang banyak penipuan di shopee, barang Kawe banyak bertaburan di market shopee,dan banyak yang sudah di rugikan...",Positif
Kenapa gak bsa cod padahal tulisan cod nya ada TPI terhalang SMA pas mau cekaut malah muncul tulisan gini (M02/D02.promo ini SDH km gunakan cba promo lainnya Trus saya cba semua barang g ada yg bsa di beli gmn ini shopy tolong kebijakan nya saya g bsa mau bilng barang2🙏😭,Negatif
"Senang berbelanja di aplikasi ini, fitur cod sangat membantu sekali, mantapp ❤️❤️❤️😁 Buat orang awam hati2 milih Toko belanja, karna masih ada beberapa toko yang tidak amanah jualan, dan menipu. silahkan cek penilaian orang2 dari toko tersebut, sebelum belanja..",Positif
"Saya pernah belanja di shopee dgn pembayaran cod,tapi si kurir gak pernah antar pesanan saya sampai di rumah, si kurir banyak alasan,jauh lah,penerima gak ada di tempat lah, sangat kecewa",Negatif
"Aplikasi belanja online yang sangat lengkap dan terpercaya, murah meriah ramah di kantong banyak pilihannya gak perlu repot-repot keluar rumah untuk belanja, barang sudah sampai di rumah dan enaknya lagi barang bisa cod cek dulu kalau barang gak cocok atau tidak sesuai dengan pesanan bisa di kembalikan.",Positif
"Pesanan bagus dan kadang sesuai dg yg dipesan(itu yg lgsg ditrasfer),tp kadang2 tdk sesuai ekspektasi (yg COD),saran saya kl bs yg cod itu jg hrs menjaga kualitas barang yg dijualnya,biar konsumen gak kecewa",Positif
"Ngak ada masalah lain sih cuman untuk jasa pengiriman untuk kalbar itu kurirnya banyak yang ngak bisa anter sampe depan rumah,, ngaku nya aja cod tapi malah ngambil di rumah kurir nya mana ongkir nya mahal 😒🥺",Positif
"Dari dulu beli apa² pasti di shopee, dan udah lama ga isi shopeepay, jadi kebiasaan cod, abis itu mau beli barang karena lebih murah pakai shopeepay, akhirnya isi tuh dengan nominal yg saya butuhkan, kebetulan habis belanja 85rb jadi saya isi 85rb, harusnya cukup dong, ini kenapa infonya saldo tidak cukup, harus banget emang di lebihin, maunya buru² kenapa jadi ribet gini, perbaiki lagi dehh pelayanannya, biar gak ada yang kecewa",Negatif
Wah... shopi tidak bijak... melindungi penipuan... Atau mungkin saya nggak faham... tapi nggak ada konfirmasi yg jêlas...tolong di cek kenapa harus ada yg ditolak... atau cek dulu... Ternyata hanya iklan... Kapan saya bisa cod cek dulu... kalau mengecek... ternyata nggak sesuai... trus nggak boleh di kembalikan... Tak tunggu kebijakan shopi...tolong dong klarifikasi... dan bantu cek... letak kekurangan saya,Positif
"Terpaksa saya merubah ranting. Kebijakan shopee yg sangat aneh. Saya mendukung adanya program COD chek dulu, bisa chek paket dulu, tapi anehnya saat barang kita tolak karena tidak sesuai dg pesanan eh malah kita yg dihukum dg menonaktifkan program COD di akun kita. Jadi apa artinya COD chek dulu Kalo nyatanya kita ga boleh nolak.",Negatif
"sudah sejak awal Shopee ada sya sudah menggunakan aplikasinya sangat bagus hanya saja pelayananannya agak menurun ketika akhir"" ini memesan barang melalui spx expres tidak pernah kurir mengkonfirmasi tiba tiba pas di cek paket dikembalikan atau kendala pengiriman padahal kurir spx sirimau hub yg malas entah kenapa al hasil gak bisa COD selama waktu yg ditentukan spx padahal sya selalu aktif dan selalu bayar paket saya sesai estimasi jika dikirm ke alamat saya sesuai waktu atau lewat estimasi.",Positif
Tolong dong kurirnya lebih ditingkatkan pelayanannya. Saya pesen paket cod baru diinfo paket datang trus baru 2 menit saya bales malah ditinggal pergi. Saya jadi males kalau pesen di shopeee. Tolong ditindak lanjuti 🙏,Negatif
"Cukup puas dengan shopee. Saya sudah berhasil memesan beberapa barang, pengiriman barang tepat waktu, pembelian COD cukup mudah dan praktis juga banyak bebas ongkir ☺️👍",Positif
"Udah nyaman belanja di shopee selama ini.barang"" lengkap.sesuai gambar dan harganya terjangkau.boucer diskon jg banyak.tapi karna kemarin pesanan ada yg g kekirim jdnya saya g bisa lagi pakai metode pembayaran cod.padahal itu dari pihak kurir.kenapa jd saya yg g bisa cod.jadi malas mau co lg karna harus isi saldo shopepay",Positif
"Hi pihak Shopee,Kenapa ya klo kita pesan COD cek,klo ada produk yg tdk sesuai dgn pesanan, maka kita ksh kembali, mau pesan lagi, udah gak bisa COD cek lagi, karena alasan udah beberapa kali penolakan maka tidak bisa COD cek,atah COD. Aneh..tolong di perbaiki tu..",Positif
"Saran saya, bagus nya shope ini harus pake COD cek dulu semua nya, supaya menghindari barang yg di kirim asli atau palsu nya biar konsumen tidak ke beli barang yg kecewa, dan penipuan lewat belanjaan, contok barang di posting oroginal dan barang yg di kirim kawe tidak bagus...",Positif
"Tolong kembali kan jnt kami. Spx paketnya banyak yang gak sampai. Apalagi cod. Pasti gak sampai. Hilang di jalan. Area kalimantan. Selama pakai spx kurang lebih 6x, paket hilang dan tidak sampai ada 4x.",Negatif
"Kapok banget dengan pengiriman di Shopee sekarang, pengiriman sudah lewat 3 hari dari estimasi. Saran dari temanku katanya ""nggak usah bayar dulu, mending COD aja biar cepat paketnya"". Nggak lagi klau bukan karena ultah kakakku, sudah aku ajukan pengembalian dana. Tapi untuk barang disini lumayan lengkap cuma terkendala di pengiriman",Negatif
Waktu itu lebih berharga dari barang yang di tunggu tapi datangnya tidak sesuai waktu/tanggal. Jadi jangan marah kalau nggak di bayar COD nya ya. Ingat waktu itu mahal harganya dan tidak ada orang yang dapat membalikkan waktu.,Negatif
